treeID nodeID parmID contPT mwcpSZ
1 1 1 3 -1.349385 0
2 1 1 2 0 0
3 1 1 0 NA 0
4 1 3 0 NA 0
5 1 2 3 0.597595 0
6 1 2 1 0 0
7 1 2 3 -0.360528 0
8 1 2 2 0 0
9 1 2 0 NA 0
10 1 7 0 NA 0
11 1 6 3 0.064841 0
12 1 6 0 NA 0
13 1 8 0 NA 0
14 1 5 1 1 0
15 1 5 3 0.247674 0
16 1 5 3 -0.424354 0
17 1 5 0 NA 0
18 1 11 3 -0.034858 0
19 1 11 0 NA 0
20 1 12 0 NA 0
21 1 10 0 NA 0
22 1 9 3 -0.623487 0
23 1 9 0 NA 0
24 1 13 3 0.181009 0
25 1 13 2 0 0
26 1 13 0 NA 0
27 1 15 0 NA 0
28 1 14 0 NA 0
29 1 4 1 0 0
30 1 4 3 1.059585 0
31 1 4 0 NA 0
32 1 17 0 NA 0
33 1 16 1 1 0
34 1 16 2 0 0
35 1 16 0 NA 0
36 1 19 0 NA 0
37 1 18 3 1.083714 0
38 1 18 0 NA 0
39 1 20 0 NA 0
